"citizenship","CountryOfExploitation","gender","ageBroad","isForcedLabour","isSexualExploit","isOtherExploit","isSexAndLabour","typeOfLabourAgriculture","typeOfLabourAquafarming","typeOfLabourBegging","typeOfLabourConstruction","typeOfLabourDomesticWork","typeOfLabourHospitality","typeOfLabourManufacturing","typeOfLabourPeddling","typeOfLabourOther","typeOfLabourNotSpecified","typeOfSexProstitution","recruiterRelationIntimatePartner","recruiterRelationFriend","recruiterRelationFamily","recruiterRelationOther","recruiterRelationUnknown","exploitationDTM","citizenshipDTM"
"AF","AF","Male","9--17",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2
"AF","SA","Male","9--17",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2
"AF","AF","Male","9--17",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2
"AF","AF","Male","9--17",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2
"AF","AF","Male","9--17",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
"AF","AF","Male","9--17",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
"AF","AF","Male","9--17",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2
"AF","AF","Male","9--17",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2
"AF","AF","Male","9--17",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2
"AF","AF","Male","9--17",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2
"AF","AF","Male","9--17",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2
"AF","SA","Male","9--17",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2
"AF","AF","Male","9--17",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2
"AF","SA","Male","9--17",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2
"AF","AF","Male","9--17",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2
"AF","AF","Male","9--17",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
"AF","AF","Male","9--17",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
"AF","AF","Male","9--17",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2
"AF","AF","Male","9--17",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2
"AF","SA","Male","9--17",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2
"AF","AF","Male","9--17",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
"AF","AF","Male","9--17",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2
"AF","AF","Male","9--17",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2
"AF","AF","Male","9--17",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2
"AF","AF","Male","9--17",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2
"AF","AF","Male","9--17",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2
