Name,Code,Citizens_Exploited,Exploits_In_Country,Citizens_Exploited_In_Country,Proportion_of_Citizens_Who_Are_Exploited_In_Country,Proportion_of_Total_Exploits_In_Country_Who_Are_Citizens,Top_Supplier,Top_Demand,Total_From_Supplier,Total_To_Demand,Proportion_Exploits_From_Top_Supplier,Proportion_of_Demand_To_Top_Demand,DTM_Stage
Afghanistan,AFG,550,240,240,0.4363636364,1,AFG,AFG,240,240,1,0.4363636364,2
Albania,ALB,440,350,151,0.3431818182,0.4314285714,ALB,ALB,151,151,0.4314285714,0.3431818182,4
Algeria,DZA,20,50,0,0,0,nan,nan,29,20,0.58,1,3
Argentina,ARG,100,690,45,0.45,0.0652173913,BOL,nan,348,55,0.5043478261,0.55,4
Armenia,ARM,20,30,0,0,0,nan,nan,30,20,1,1,4
Australia,AUS,30,10,0,0,0,nan,nan,10,30,1,1,4
Austria,AUT,0,110,0,,0,nan,nan,58,,0.5272727273,,4
Azerbaijan,AZE,100,50,0,0,0,nan,nan,48,92,0.96,0.92,3
Bahamas,BHS,0,10,0,,0,nan,nan,10,,1,,4
Bahrain,BHR,0,70,0,,0,nan,nan,39,,0.5571428571,,4
Bangladesh,BGD,850,650,284,0.3341176471,0.4369230769,BGD,nan,284,323,0.4369230769,0.38,3
Belarus,BLR,4180,540,276,0.06602870813,0.5111111111,BLR,nan,276,2073,0.5111111111,0.4959330144,4
Belgium,BEL,0,90,0,,0,nan,nan,82,,0.9111111111,,4
Belize,BLZ,10,0,0,0,,nan,nan,,10,,1,3
Benin,BEN,70,10,6,0.08571428571,0.6,BEN,NER,6,62,0.6,0.8857142857,2
Bhutan,BTN,20,0,0,0,,nan,IRQ,,17,,0.85,3
"Bolivia, Plurinational State of",BOL,350,0,0,0,,nan,ARG,,348,,0.9942857143,3
Bosnia and Herzegovina,BIH,80,490,45,0.5625,0.09183673469,ROU,BIH,277,45,0.5653061224,0.5625,5
Brazil,BRA,280,30,12,0.04285714286,0.4,nan,nan,18,74,0.6,0.2642857143,3
Brunei Darussalam,BRN,0,20,0,,0,nan,nan,18,,0.9,,4
Bulgaria,BGR,1300,490,438,0.3369230769,0.893877551,BGR,BGR,438,438,0.893877551,0.3369230769,4
Burkina Faso,BFA,120,60,0,0,0,nan,CIV,35,60,0.5833333333,0.5,2
Burundi,BDI,380,90,57,0.15,0.6333333333,BDI,SAU,57,218,0.6333333333,0.5736842105,2
Cambodia,KHM,3760,1430,1212,0.3223404255,0.8475524476,KHM,KHM,1212,1212,0.8475524476,0.3223404255,3
Cameroon,CMR,900,50,4,0.004444444444,0.08,TGO,LBY,26,794,0.52,0.8822222222,2
Canada,CAN,130,0,0,0,,nan,nan,,123,,0.9461538462,4
Chad,TCD,50,40,39,0.78,0.975,TCD,TCD,39,39,0.975,0.78,2
Chile,CHL,20,50,19,0.95,0.38,nan,CHL,31,19,0.62,0.95,4
China,CHN,980,740,66,0.06734693878,0.08918918919,KHM,nan,431,450,0.5824324324,0.4591836735,3
Colombia,COL,770,140,135,0.1753246753,0.9642857143,COL,nan,135,333,0.9642857143,0.4324675325,3
Congo,COG,20,0,0,0,,nan,nan,,20,,1,2
"Congo, the Democratic Republic of the",COD,290,20,0,0,0,nan,UGA,20,208,1,0.7172413793,2
Costa Rica,CRI,20,30,0,0,0,nan,nan,30,20,1,1,3
Côte d'Ivoire,CIV,480,180,76,0.1583333333,0.4222222222,CIV,TUN,76,223,0.4222222222,0.4645833333,2
Croatia,HRV,0,20,0,,0,nan,nan,20,,1,,5
Cuba,CUB,160,0,0,0,,nan,USA,,94,,0.5875,3
Cyprus,CYP,0,130,0,,0,nan,nan,72,,0.5538461538,,4
Czech Republic,CZE,40,410,0,0,0,nan,nan,256,40,0.6243902439,1,4
Denmark,DNK,0,170,0,,0,nan,nan,81,,0.4764705882,,4
Djibouti,DJI,0,50,0,,0,SOM,nan,50,,1,,3
Dominican Republic,DOM,180,80,0,0,0,VEN,CHE,36,99,0.45,0.55,3
Ecuador,ECU,50,140,21,0.42,0.15,COL,nan,81,29,0.5785714286,0.58,3
Egypt,EGY,20,530,0,0,0,ERI,nan,193,20,0.3641509434,1,3
El Salvador,SLV,360,20,20,0.05555555556,1,SLV,nan,20,289,1,0.8027777778,3
Eritrea,ERI,240,0,0,0,,nan,EGY,,193,,0.8041666667,2
Estonia,EST,20,0,0,0,,nan,nan,,20,,1,4
Ethiopia,ETH,770,230,74,0.0961038961,0.3217391304,SDN,nan,152,143,0.6608695652,0.1857142857,2
Finland,FIN,0,110,0,,0,nan,nan,95,,0.8636363636,,4
France,FRA,20,100,0,0,0,BGR,nan,50,20,0.5,1,4
Gabon,GAB,0,60,0,,0,TGO,nan,54,,0.9,,3
Gambia,GMB,90,0,0,0,,nan,EGY,,38,,0.4222222222,2
Georgia,GEO,50,80,0,0,0,nan,nan,43,46,0.5375,0.92,4
Germany,DEU,40,650,0,0,0,BGR,nan,139,40,0.2138461538,1,5
Ghana,GHA,920,820,740,0.8043478261,0.9024390244,GHA,GHA,740,740,0.9024390244,0.8043478261,3
Greece,GRC,20,350,0,0,0,nan,nan,223,20,0.6371428571,1,4
Guatemala,GTM,710,100,87,0.1225352113,0.87,GTM,nan,87,448,0.87,0.6309859155,3
Guinea,GIN,140,20,20,0.1428571429,1,GIN,nan,20,39,1,0.2785714286,2
Guinea-Bissau,GNB,190,0,0,0,,nan,SEN,,190,,1,2
Guyana,GUY,20,30,7,0.35,0.2333333333,VEN,nan,23,13,0.7666666667,0.65,3
Haiti,HTI,580,500,498,0.8586206897,0.996,HTI,HTI,498,498,0.996,0.8586206897,2
Honduras,HND,520,30,29,0.05576923077,0.9666666667,HND,nan,29,424,0.9666666667,0.8153846154,3
Hong Kong,HKG,10,280,0,0,0,nan,nan,137,10,0.4892857143,1,4
Hungary,HUN,200,30,0,0,0,nan,DEU,29,61,0.9666666667,0.305,4
India,IND,380,280,77,0.2026315789,0.275,nan,nan,195,260,0.6964285714,0.6842105263,3
Indonesia,IDN,4060,2830,586,0.1443349754,0.2070671378,MMR,nan,1543,1090,0.545229682,0.2684729064,3
"Iran, Islamic Republic of",IRN,20,20,0,0,0,nan,nan,20,20,1,1,4
Iraq,IRQ,20,390,19,0.95,0.04871794872,nan,IRQ,118,19,0.3025641026,0.95,2
Ireland,IRL,0,110,0,,0,nan,nan,77,,0.7,,4
